text,label,type
ഉത്സാഹം,good,word
santhosham,good,word
sahanashakthi,good,word
krithajnatha,good,word
udaratha,good,word
sahrudayam,good,word
snehapoorvam,good,word
dayalooth,good,word
sathyam,good,word
sauhrudham,good,word
manassaandhi,good,word
punchiri,good,word
vaatsalyam,good,word
karuthalode,good,word
utharavadhithyam,good,word
arppanam,good,word
athmashanthi,good,word
sahakaranam,good,word
aashamsakal,good,word
othu_cheral,good,word
nanmayude_vazhi,good,word
soundaryam,good,word
vijayam,good,word
aashirvadam,good,word
sahaya_hastam,good,word
punyam,good,word
madhuram,good,word
sukham,good,word
shubathwam,good,word
prakasham,good,word
nanma_theliyuka,good,word
veeryam,good,word
bhadratha,good,word
hridayathwam,good,word
saujanyam,good,word
manoharitham,good,word
shuddha_manassu,good,word
shantha_vaakkukal,good,word
uthamathwam,good,word
sushilatha,good,word
snehabodham,good,word
vishuddhi,good,word
dhairyashali,good,word
utsaham,good,word
positive_sneham,good,word
kind_karuthal,good,word
support_cheyyam,good,word
help_nalgunna,good,word
care_undakuka,good,word
happy_aakanam,good,word
calm_irikkam,good,word
good_behaviour_aanallo,good,word
respect_nalkanam,good,word
soft_parayuka,good,word
clean_mind_venam,good,word
positive_think_cheyyu,good,word
love_niranjirikkam,good,word
calm_voice_venam,good,word
confidence_koodanam,good,word
motivated_aakuka,good,word
friendly_aayirikkam,good,word
peace_kittanam,good,word
smile_varanam,good,word
blessing_polikkam,good,word
good_person_aan,good,word
truth_palikkanam,good,word
kind_words_parayuka,good,word
gentle_samvadam,good,word
helping_mindset,good,word
good_vibes_undakuka,good,word
happy_smile_tharuka,good,word
pure_heart_anu,good,word
supportive_attitude_und,good,word
polite_speech_kooduka,good,word
nalla_kurachu_vakukal,good,word
oru_nalla_suhruth,good,word
poli_attitude_alla,good,word
cool_aayirikkam,good,word
kollam_aayirikkam,good,word
soft_heart_anu,good,word
nalla_thonnal,good,word
support_tharuka,good,word
koode_nilkkam,good,word
onnayi_nadakkam,good,word
oru_good_person,good,word
clear_samsayam,good,word
oru_nalla_margam,good,word
santhosham_kittatte,good,word
punyam_undavatte,good,word
good_intentions,good,word
nalla_vicharam,good,word
positive_feeling,good,word
oru_punchiri_mathram,good,word
nalla_oru_koottu,good,word
well_done,good,word
great_job,good,word
keep_going,good,word
proud_of_you,good,word
so_happy_for_you,good,word
you_got_this,good,word
amazing_work,good,word
stay_strong,good,word
never_give_up,good,word
believe_in_yourself,good,word
much_love,good,word
respect,good,word
big_support,good,word
cheers_to_you,good,word
keep_shining,good,word
this_made_my_day,good,word
sending_positive_vibes,good,word
more_power_to_you,good,word
you_are_doing_great,good,word
beautiful_soul,good,word
pure_vibes_only,good,word
love_this_energy,good,word
so_inspiring,good,word
heartwarming,good,word
wholesome_content,good,word
full_support,good,word
positive_vibes_only,good,word
keep_smiling,good,word
stay_positive,good,word
good_things_ahead,good,word
well_deserved,good,word
much_respect,good,word
feeling_proud,good,word
totally_agree,good,word
this_is_awesome,good,word
such_kindness,good,word
faith_in_humanity_restored,good,word
super_anu,good,word
kidilan,good,word
pwoli,good,word
nalla_work,good,word
nalla_effort,good,word
keep_it_up_alle,good,word
santhosham_aayi,good,word
proud_feel_cheyyunnu,good,word
respect_kooduthal,good,word
full_support_und,good,word
nalla_vibes_mathram,good,word
heart_touching_anu,good,word
inspiring_anu,good,word
positive_anu,good,word
nalla_energy,good,word
oru_punchiri_varuthi,good,word
happy_aakki,good,word
nalla_oru_message,good,word
ellam_sheri_akum,good,word
valare_nannayi,good,word
kollam_kidu,good,word
nalla_thonnal_undakki,good,word
oru_hope_kitti,good,word
manassu_niranjirikkunnu,good,word
full_positive,good,word
great_work,good,word
so_great,good,word
keep_it_great,good,word
feeling_great,good,word
full_of_great,good,word
great_vibes,good,word
much_great,good,word
stay_great,good,word
pure_great,good,word
spreading_great,good,word
really_great,good,word
totally_great,good,word
always_great,good,word
simply_great,good,word
nalla_great,good,word
valare_great,good,word
full_great_anu,good,word
great_aayi,good,word
great_feel,good,word
great_vibes_und,good,word
oru_great_feeling,good,word
great_mathram,good,word
great_energy_und,good,word
stay_great_alle,good,word
great_aayirikkam,good,word
keep_great_mindset,good,word
great_cheyyam,good,word
spread_great_vibes,good,word
great_feel_cheyyu,good,word
awesome_work,good,word
so_awesome,good,word
keep_it_awesome,good,word
feeling_awesome,good,word
full_of_awesome,good,word
awesome_vibes,good,word
much_awesome,good,word
stay_awesome,good,word
pure_awesome,good,word
spreading_awesome,good,word
really_awesome,good,word
totally_awesome,good,word
always_awesome,good,word
simply_awesome,good,word
nalla_awesome,good,word
valare_awesome,good,word
full_awesome_anu,good,word
awesome_aayi,good,word
awesome_feel,good,word
awesome_vibes_und,good,word
oru_awesome_feeling,good,word
awesome_mathram,good,word
awesome_energy_und,good,word
stay_awesome_alle,good,word
awesome_aayirikkam,good,word
keep_awesome_mindset,good,word
awesome_cheyyam,good,word
spread_awesome_vibes,good,word
awesome_feel_cheyyu,good,word
amazing_work,good,word
so_amazing,good,word
keep_it_amazing,good,word
feeling_amazing,good,word
full_of_amazing,good,word
amazing_vibes,good,word
much_amazing,good,word
stay_amazing,good,word
pure_amazing,good,word
spreading_amazing,good,word
really_amazing,good,word
totally_amazing,good,word
always_amazing,good,word
simply_amazing,good,word
nalla_amazing,good,word
valare_amazing,good,word
full_amazing_anu,good,word
amazing_aayi,good,word
amazing_feel,good,word
amazing_vibes_und,good,word
oru_amazing_feeling,good,word
amazing_mathram,good,word
amazing_energy_und,good,word
stay_amazing_alle,good,word
amazing_aayirikkam,good,word
keep_amazing_mindset,good,word
amazing_cheyyam,good,word
spread_amazing_vibes,good,word
amazing_feel_cheyyu,good,word
wonderful_work,good,word
so_wonderful,good,word
keep_it_wonderful,good,word
feeling_wonderful,good,word
full_of_wonderful,good,word
wonderful_vibes,good,word
much_wonderful,good,word
stay_wonderful,good,word
pure_wonderful,good,word
spreading_wonderful,good,word
really_wonderful,good,word
totally_wonderful,good,word
always_wonderful,good,word
simply_wonderful,good,word
nalla_wonderful,good,word
valare_wonderful,good,word
full_wonderful_anu,good,word
wonderful_aayi,good,word
wonderful_feel,good,word
wonderful_vibes_und,good,word
oru_wonderful_feeling,good,word
wonderful_mathram,good,word
wonderful_energy_und,good,word
stay_wonderful_alle,good,word
wonderful_aayirikkam,good,word
keep_wonderful_mindset,good,word
wonderful_cheyyam,good,word
spread_wonderful_vibes,good,word
wonderful_feel_cheyyu,good,word
fantastic_work,good,word
so_fantastic,good,word
keep_it_fantastic,good,word
feeling_fantastic,good,word
full_of_fantastic,good,word
fantastic_vibes,good,word
much_fantastic,good,word
stay_fantastic,good,word
pure_fantastic,good,word
spreading_fantastic,good,word
really_fantastic,good,word
totally_fantastic,good,word
always_fantastic,good,word
simply_fantastic,good,word
nalla_fantastic,good,word
valare_fantastic,good,word
full_fantastic_anu,good,word
fantastic_aayi,good,word
fantastic_feel,good,word
fantastic_vibes_und,good,word
oru_fantastic_feeling,good,word
fantastic_mathram,good,word
fantastic_energy_und,good,word
stay_fantastic_alle,good,word
fantastic_aayirikkam,good,word
keep_fantastic_mindset,good,word
fantastic_cheyyam,good,word
spread_fantastic_vibes,good,word
fantastic_feel_cheyyu,good,word
brilliant_work,good,word
so_brilliant,good,word
keep_it_brilliant,good,word
feeling_brilliant,good,word
full_of_brilliant,good,word
brilliant_vibes,good,word
much_brilliant,good,word
stay_brilliant,good,word
pure_brilliant,good,word
spreading_brilliant,good,word
really_brilliant,good,word
totally_brilliant,good,word
always_brilliant,good,word
simply_brilliant,good,word
nalla_brilliant,good,word
valare_brilliant,good,word
full_brilliant_anu,good,word
brilliant_aayi,good,word
brilliant_feel,good,word
brilliant_vibes_und,good,word
oru_brilliant_feeling,good,word
brilliant_mathram,good,word
brilliant_energy_und,good,word
stay_brilliant_alle,good,word
brilliant_aayirikkam,good,word
keep_brilliant_mindset,good,word
brilliant_cheyyam,good,word
spread_brilliant_vibes,good,word
brilliant_feel_cheyyu,good,word
lovely_work,good,word
so_lovely,good,word
keep_it_lovely,good,word
feeling_lovely,good,word
full_of_lovely,good,word
lovely_vibes,good,word
much_lovely,good,word
stay_lovely,good,word
pure_lovely,good,word
spreading_lovely,good,word
really_lovely,good,word
totally_lovely,good,word
always_lovely,good,word
simply_lovely,good,word
nalla_lovely,good,word
valare_lovely,good,word
full_lovely_anu,good,word
lovely_aayi,good,word
lovely_feel,good,word
lovely_vibes_und,good,word
oru_lovely_feeling,good,word
lovely_mathram,good,word
lovely_energy_und,good,word
stay_lovely_alle,good,word
lovely_aayirikkam,good,word
keep_lovely_mindset,good,word
lovely_cheyyam,good,word
spread_lovely_vibes,good,word
lovely_feel_cheyyu,good,word
beautiful_work,good,word
so_beautiful,good,word
keep_it_beautiful,good,word
feeling_beautiful,good,word
full_of_beautiful,good,word
beautiful_vibes,good,word
much_beautiful,good,word
stay_beautiful,good,word
pure_beautiful,good,word
spreading_beautiful,good,word
really_beautiful,good,word
totally_beautiful,good,word
always_beautiful,good,word
simply_beautiful,good,word
nalla_beautiful,good,word
valare_beautiful,good,word
full_beautiful_anu,good,word
beautiful_aayi,good,word
beautiful_feel,good,word
beautiful_vibes_und,good,word
oru_beautiful_feeling,good,word
beautiful_mathram,good,word
beautiful_energy_und,good,word
stay_beautiful_alle,good,word
beautiful_aayirikkam,good,word
keep_beautiful_mindset,good,word
beautiful_cheyyam,good,word
spread_beautiful_vibes,good,word
beautiful_feel_cheyyu,good,word
inspiring_work,good,word
so_inspiring,good,word
keep_it_inspiring,good,word
feeling_inspiring,good,word
full_of_inspiring,good,word
inspiring_vibes,good,word
much_inspiring,good,word
stay_inspiring,good,word
pure_inspiring,good,word
spreading_inspiring,good,word
really_inspiring,good,word
totally_inspiring,good,word
always_inspiring,good,word
simply_inspiring,good,word
nalla_inspiring,good,word
valare_inspiring,good,word
full_inspiring_anu,good,word
inspiring_aayi,good,word
inspiring_feel,good,word
inspiring_vibes_und,good,word
oru_inspiring_feeling,good,word
inspiring_mathram,good,word
inspiring_energy_und,good,word
stay_inspiring_alle,good,word
inspiring_aayirikkam,good,word
keep_inspiring_mindset,good,word
inspiring_cheyyam,good,word
spread_inspiring_vibes,good,word
inspiring_feel_cheyyu,good,word
positive_work,good,word
so_positive,good,word
keep_it_positive,good,word
feeling_positive,good,word
full_of_positive,good,word
positive_vibes,good,word
much_positive,good,word
stay_positive,good,word
pure_positive,good,word
spreading_positive,good,word
really_positive,good,word
totally_positive,good,word
always_positive,good,word
simply_positive,good,word
nalla_positive,good,word
valare_positive,good,word
full_positive_anu,good,word
positive_aayi,good,word
positive_feel,good,word
positive_vibes_und,good,word
oru_positive_feeling,good,word
positive_mathram,good,word
positive_energy_und,good,word
stay_positive_alle,good,word
positive_aayirikkam,good,word
keep_positive_mindset,good,word
positive_cheyyam,good,word
spread_positive_vibes,good,word
positive_feel_cheyyu,good,word
kind_work,good,word
so_kind,good,word
keep_it_kind,good,word
feeling_kind,good,word
full_of_kind,good,word
kind_vibes,good,word
much_kind,good,word
stay_kind,good,word
pure_kind,good,word
spreading_kind,good,word
really_kind,good,word
totally_kind,good,word
always_kind,good,word
simply_kind,good,word
nalla_kind,good,word
valare_kind,good,word
full_kind_anu,good,word
kind_aayi,good,word
kind_feel,good,word
kind_vibes_und,good,word
oru_kind_feeling,good,word
kind_mathram,good,word
kind_energy_und,good,word
stay_kind_alle,good,word
kind_aayirikkam,good,word
keep_kind_mindset,good,word
kind_cheyyam,good,word
spread_kind_vibes,good,word
kind_feel_cheyyu,good,word
strong_work,good,word
so_strong,good,word
keep_it_strong,good,word
feeling_strong,good,word
full_of_strong,good,word
strong_vibes,good,word
much_strong,good,word
stay_strong,good,word
pure_strong,good,word
spreading_strong,good,word
really_strong,good,word
totally_strong,good,word
always_strong,good,word
simply_strong,good,word
nalla_strong,good,word
valare_strong,good,word
full_strong_anu,good,word
strong_aayi,good,word
strong_feel,good,word
strong_vibes_und,good,word
oru_strong_feeling,good,word
strong_mathram,good,word
strong_energy_und,good,word
stay_strong_alle,good,word
strong_aayirikkam,good,word
keep_strong_mindset,good,word
strong_cheyyam,good,word
spread_strong_vibes,good,word
strong_feel_cheyyu,good,word
proud_work,good,word
so_proud,good,word
keep_it_proud,good,word
feeling_proud,good,word
full_of_proud,good,word
proud_vibes,good,word
much_proud,good,word
stay_proud,good,word
pure_proud,good,word
spreading_proud,good,word
really_proud,good,word
totally_proud,good,word
always_proud,good,word
simply_proud,good,word
nalla_proud,good,word
valare_proud,good,word
full_proud_anu,good,word
proud_aayi,good,word
proud_feel,good,word
proud_vibes_und,good,word
oru_proud_feeling,good,word
proud_mathram,good,word
proud_energy_und,good,word
stay_proud_alle,good,word
proud_aayirikkam,good,word
keep_proud_mindset,good,word
proud_cheyyam,good,word
spread_proud_vibes,good,word
proud_feel_cheyyu,good,word
happy_work,good,word
so_happy,good,word
keep_it_happy,good,word
feeling_happy,good,word
full_of_happy,good,word
happy_vibes,good,word
much_happy,good,word
stay_happy,good,word
pure_happy,good,word
spreading_happy,good,word
really_happy,good,word
totally_happy,good,word
always_happy,good,word
simply_happy,good,word
nalla_happy,good,word
valare_happy,good,word
full_happy_anu,good,word
happy_aayi,good,word
happy_feel,good,word
happy_vibes_und,good,word
oru_happy_feeling,good,word
happy_mathram,good,word
happy_energy_und,good,word
stay_happy_alle,good,word
happy_aayirikkam,good,word
keep_happy_mindset,good,word
happy_cheyyam,good,word
spread_happy_vibes,good,word
happy_feel_cheyyu,good,word
grateful_work,good,word
so_grateful,good,word
keep_it_grateful,good,word
feeling_grateful,good,word
full_of_grateful,good,word
grateful_vibes,good,word
much_grateful,good,word
stay_grateful,good,word
pure_grateful,good,word
spreading_grateful,good,word
really_grateful,good,word
totally_grateful,good,word
always_grateful,good,word
simply_grateful,good,word
nalla_grateful,good,word
valare_grateful,good,word
full_grateful_anu,good,word
grateful_aayi,good,word
grateful_feel,good,word
grateful_vibes_und,good,word
oru_grateful_feeling,good,word
grateful_mathram,good,word
grateful_energy_und,good,word
stay_grateful_alle,good,word
grateful_aayirikkam,good,word
keep_grateful_mindset,good,word
grateful_cheyyam,good,word
spread_grateful_vibes,good,word
grateful_feel_cheyyu,good,word
peaceful_work,good,word
so_peaceful,good,word
keep_it_peaceful,good,word
feeling_peaceful,good,word
full_of_peaceful,good,word
peaceful_vibes,good,word
much_peaceful,good,word
stay_peaceful,good,word
pure_peaceful,good,word
spreading_peaceful,good,word
really_peaceful,good,word
totally_peaceful,good,word
always_peaceful,good,word
simply_peaceful,good,word
nalla_peaceful,good,word
valare_peaceful,good,word
full_peaceful_anu,good,word
peaceful_aayi,good,word
peaceful_feel,good,word
peaceful_vibes_und,good,word
oru_peaceful_feeling,good,word
peaceful_mathram,good,word
peaceful_energy_und,good,word
stay_peaceful_alle,good,word
peaceful_aayirikkam,good,word
keep_peaceful_mindset,good,word
peaceful_cheyyam,good,word
spread_peaceful_vibes,good,word
peaceful_feel_cheyyu,good,word
respect_work,good,word
so_respect,good,word
keep_it_respect,good,word
feeling_respect,good,word
full_of_respect,good,word
respect_vibes,good,word
much_respect,good,word
stay_respect,good,word
pure_respect,good,word
spreading_respect,good,word
really_respect,good,word
totally_respect,good,word
always_respect,good,word
simply_respect,good,word
nalla_respect,good,word
valare_respect,good,word
full_respect_anu,good,word
respect_aayi,good,word
respect_feel,good,word
respect_vibes_und,good,word
oru_respect_feeling,good,word
respect_mathram,good,word
respect_energy_und,good,word
stay_respect_alle,good,word
respect_aayirikkam,good,word
keep_respect_mindset,good,word
respect_cheyyam,good,word
spread_respect_vibes,good,word
respect_feel_cheyyu,good,word
support_work,good,word
so_support,good,word
keep_it_support,good,word
feeling_support,good,word
full_of_support,good,word
support_vibes,good,word
much_support,good,word
