text,label,type,alternative
mandabuddi,bad,word,U mean bayankara budhi
pranthan,bad,word,U mean Pramani
pranthannalle,bad,word,U mean perinthalmanna
nattapranth,bad,word,U mean nattu pramani
nattapranthan,bad,word,U mean nattupramani
nattapranthi,bad,word,U mean nattu Pramani
piranthanno,bad,word,U mean parathano
pranthanno,bad,word,U mean parathano
vattcase,bad,word,U mean suitcase
Vat case,bad,word,U mean suitcase
kashtam,bad,word,U mean moksham
thalavidi,bad,word,U mean tharavadi
thalavidhi,bad,word,U mean tharavadi
shaddi,bad,word,U mean chedi
vattu,bad,word,U mean Vasu
kollum,bad,word,U mean Kollam
Theerkkum ninne,bad,word,U mean neenthum
thallum,bad,word,U mean thullum
adikkum,bad,word,U mean adikam
peduthum,bad,word,Paditham
panitharum,bad,word,Pani tharuo
gandu,bad,word,Mundu
Thalakk sugamille,bad,word,U mean sugamalle
thallikkollum,bad,word,U mean snehichukollum
thalikollum,bad,word,U mean snehichukollum
Vidilla ninne,bad,word,I mean ninte villa
kaanada,bad,word,U mean kannada
Kaanadi ,bad,word,U mean Kannadi
anubavippikkum,bad,word,U mean samadanippikkum
nashikkatte,bad,word,Namikkatte
nashichupovatte,bad,word,Nale pokatte
nashichu,bad,word,U mean namichu
naasham,bad,word,U mean moksham
wtf!,bad,word,സുഹൃത്ത് പോലെ പറഞ്ഞാൽ മതി
Enthuvada ,bad,word,U mean pavada
മൂഞ്ചി ,bad,word,മഞ്ജ് 
Potti,bad,word,Petti
Pottii,bad,word,U mean petti
Pottee,bad,word,U mean petti
Maramonna,bad,word,U mean Manorama
ഊള,bad,word,ഓല
Nobody likes you,bad,word,Everyone likes you
Go away,bad,word,Dont go
Nee poyi nashikkeda,bad,word,Nannayi va
Ente samayam kalanju,bad,word,Nalla samayam
Mosham work Aanu,bad,word,Nalla work Aanu
annoying,bad,word,Interesting
Bitch,bad,word,U mean beach
Bitches,bad,word,U mean beach
Son of a bitch,bad,word,U mean beach
